*** Compte-rendu de la simulation *** 
Conditions initiales de la simulation : 
Angle initial = 90degre
Vitesse initial = 2 m/s
Taille tige = 5 m
Masse marteau = 2 kg
Coefficient de frottements = 0.025
Section Eprouvette = 5 cm*cm 
Materiau eprouvette : Bois de châtaignier de resilience : 6.0 J/cm*cm 
L'eprouvette a ete detruite ! 
temps (ms);angleRad;vitesseAngulaire 
0;1.5707963267948966;-2.0
15;1.5407963267948965;-2.008242463451948
30;1.5106726898431173;-2.016241553909584
45;1.4804290665344735;-2.023996699853095
60;1.450069116036677;-2.0315073607040652
75;1.419596505626116;-2.0387730269016378
90;1.3890149102225915;-2.045793219972206
105;1.3583280119230083;-2.0525674925925923
120;1.3275394995341194;-2.0590954286466614
135;1.2966530681044195;-2.065376643275326
150;1.2656724184552897;-2.071410782919913
165;1.234601256711491;-2.077197525358847
180;1.2034432938311084;-2.0827365797376296
195;1.172202245135044;-2.088027686592084
210;1.1408818298361627;-2.093070617864847
225;1.10948577056819;-2.09786517691509
240;1.0780177929144636;-2.102411198521458
255;1.0464816249366418;-2.1067085488782182
270;1.0148809967034684;-2.110757125584614
285;0.9832196398196992;-2.114556857627426
300;0.9515012869552878;-2.1181077053567474
315;0.9197296713749366;-2.121409660454979
330;0.8879085264681119;-2.124462745899059
345;0.856041585279626;-2.127267015915948
360;0.8241325800408869;-2.129822555931391
375;0.792185241701916;-2.132129482511979
390;0.7602032994642363;-2.1341879433005473
405;0.7281904803147281;-2.135998116944938
420;0.696150508560554;-2.137560213020174
435;0.6640871053652514;-2.138874471944081
450;0.6320039882860902;-2.1399411648864057
465;0.5999048708127941;-2.1407605936714846
480;0.5677934619077218;-2.1413330906745136
495;0.5356734655476041;-2.1416590187114797
510;0.5035485802669319;-2.1417387709228155
525;0.4714224987030897;-2.1415727706508445
540;0.43929890714332703;-2.141161471311084
555;0.40718148507366075;-2.1405053562574805
570;0.37507390472979857;-2.139604938641653
585;0.3429798306501738;-2.138460761266224
600;0.3109029192311804;-2.1370733964323194
615;0.2788468182846956;-2.135443445781328
630;0.24681516659797567;-2.133571540131003
645;0.21481159349601064;-2.1314583393060036
660;0.1828397184064206;-2.129104531962966
675;0.1509031504269761;-2.1265108354102042
690;0.11900548789582305;-2.123677995422142
705;0.08715031796449092;-2.120606786048573
720;0.05534121617376233;-2.1172980094188616
735;0.02358174603247941;-2.113752495541184
750;-0.008124541400638348;-2.109971102096923
765;-0.03517440390729304;-1.803324167110313
780;-0.062172634351493186;-1.799882029613343
795;-0.08911623084943082;-1.7962397665291754
810;-0.11600220344164006;-1.7923981728139493
825;-0.14282757443099714;-1.7883580659571399
840;-0.16958937871806207;-1.7841202858043284
855;-0.19628466413371376;-1.7796856943767794
870;-0.22291049176903235;-1.775055175687906
885;-0.24946393630238292;-1.7702296355567053
900;-0.2759420863236566;-1.765210001418243
915;-0.3023420446556257;-1.7599972221312736
930;-0.32866092867237184;-1.7545922677830765
945;-0.35489587061474576;-1.7489961294915932
960;-0.38104401790282;-1.74320981920495
975;-0.40710253344529673;-1.7372343694984498
990;-0.4330685959458335;-1.7310708333691183
1005;-0.4589394002062519;-1.7247202840278912
1020;-0.4847121574265948;-1.7181838146895259
1035;-0.5103840955019996;-1.7114625383603228
1050;-0.5359524593163558;-1.704557587623745
1065;-0.5614145110327161;-1.6974701144240172
1080;-0.586767530380433;-1.6902012898477918
1095;-0.6120088149389925;-1.6827523039039685
1110;-0.6371356804185188;-1.675124365301748
1125;-0.662145460936924;-1.667318701227009
1140;-0.6870355092936803;-1.659336557117089
1155;-0.7118031972401911;-1.6511791964340552
1170;-0.7364459157467393;-1.6428479004365464
1185;-0.7609610752659934;-1.6343439679502705
1200;-0.785346105993052;-1.625668715137238
1215;-0.8095984581220091;-1.6168234752638129
1230;-0.8337156020990241;-1.6078095984676626
1245;-0.8576950288718793;-1.5986284515236853
1260;-0.8815342501360143;-1.5892814176089938
1275;-0.9052307985770198;-1.5797698960670337
1290;-0.9287822281095836;-1.5700953021709128
1305;-0.9521861141128738;-1.560259066886018
1320;-0.9754400536623536;-1.5502626366319927
1335;-0.998541665758016;-1.5401074730441517
1350;-1.021488591549032;-1.5297950527344013
1365;-1.044278494554808;-1.5193268670517397
1380;-1.066909060882444;-1.5087044218424064
1395;-1.0893779994405903;-1.497929237209749
1410;-1.1116830421496984;-1.4870028472738739
1425;-1.1338219441486657;-1.4759267999311483
1440;-1.15579248399787;-1.464702656613618
1455;-1.177592463878596;-1.4533319920484025
1470;-1.1992197097888528;-1.4418163940171294
1485;-1.2206720717355848;-1.43015746311547
1500;-1.2419474239232773;-1.4183568125128327
1515;-1.2630436649389614;-1.406416067712271
1530;-1.2839587179336214;-1.3943368663106626
1545;-1.3046905308000096;-1.3821208577592137
1560;-1.3252370763468746;-1.3697697031243385
1575;-1.345596352469609;-1.3572850748489667
1590;-1.365766382317324;-1.344668656514326
1605;-1.3857452144563578;-1.3319221426022487
1620;-1.4055309230302284;-1.3190472382580458
1635;-1.4251216079160383;-1.3060456590539937
1650;-1.4445153948773404;-1.292919130753475
1665;-1.4637104357134776;-1.2796693890758148
1680;-1.4827049084054054;-1.266298179461848
1695;-1.5014970172580093;-1.2528072568402593
1710;-1.5200849930389302;-1.2391983853947268
1725;-1.5384670931139088;-1.225473338331905
1740;-1.556641601578663;-1.2116338976502778
1755;-1.5746068293873117;-1.1976818539099123
1770;-1.5923611144773588;-1.183619006003141
1785;-1.609902821891252;-1.1694471609261996
1800;-1.6272303438945295;-1.1551681335518442
1815;-1.644342100090574;-1.1407837464029735
1830;-1.661236537531983;-1.1262958294272738
1845;-1.6779121308285767;-1.1117062197729102
1860;-1.694367382252056;-1.0970167615652806
1875;-1.7106008218373288;-1.0822293056848487
1890;-1.7266110074805199;-1.0673457095460714
1905;-1.7423965250336815;-1.0523678368774354
1920;-1.7579559883962206;-1.0372975575026118
1935;-1.7732880396030617;-1.0221367471227423
1950;-1.7883913489095595;-1.0068872870998626
1965;-1.8032646148731817;-0.9915510642414731
1980;-1.8179065644319756;-0.9761299705862604
1995;-1.8323159529798403;-0.9606259031909753
2010;-1.8464915644386173;-0.94504076391847
2025;-1.8604322113270206;-0.9293764592268953
2040;-1.8741367348264215;-0.9136348999600584
2055;-1.8876040048435057;-0.8978180011389411
2070;-1.9008329200698213;-0.8819276817543736
2085;-1.9138224080382342;-0.8659658645608634
2100;-1.9265714251763078;-0.8499344758715709
2115;-1.9390789568566242;-0.8338354453544281
2130;-1.951344017444065;-0.8176707058293928
2145;-1.9633656503400674;-0.8014421930668284
2160;-1.9751429280238724;-0.7851518455870012
2175;-1.9866749520907827;-0.7688016044606852
2190;-1.9979608532874455;-0.7523934131108605
2205;-2.008999791544178;-0.7359292171154959
2220;-2.019790956004349;-0.7194109640113998
2235;-2.030333565050836;-0.7028406030991271
2250;-2.04062686632957;-0.6862200852489251
2265;-2.0506701367701856;-0.6695513627077043
2280;-2.060462682603791;-0.6528363889070166
2295;-2.0700038393778715;-0.6360771182720231
2310;-2.079292971968343;-0.6192755060314352
2325;-2.088329474588769;-0.6024335080284081
2340;-2.0971127707967545;-0.5855530805323692
2355;-2.105642313497531;-0.5686361800517614
2370;-2.1139175849447462;-0.5516847631476804
2385;-2.121938096738472;-0.5347007862483859
2400;-2.129703389820442;-0.5176862054646658
2415;-2.1372130344665323;-0.5006429764060312
2430;-2.144466630276498;-0.4835730539977212
2445;-2.1514638061609754;-0.46647839229849586
2460;-2.1582042203257634;-0.4493609443191934
2475;-2.1646875602533937;-0.43222266184203106
2490;-2.170913542682003;-0.41506549524062664
2505;-2.176881913581514;-0.397891393300717
2520;-2.1825924481271373;-0.3807023030415524
2535;-2.188044950670206;-0.36350016953794306
2550;-2.1932392547063504;-0.34628693574293534
2565;-2.1981752228410167;-0.32906454231109544
2580;-2.2028527467523524;-0.31183492742237756
2595;-2.207271747151451;-0.29460002660655493
2610;-2.211432173739974;-0.2773617725681909
2625;-2.2153340051651558;-0.26012209501212885
2640;-2.218977248972198;-0.242882920469479
2655;-2.2223619415540594;-0.22564617212408122
2670;-2.2254881480986506;-0.20841376963942249
2685;-2.2283559625334406;-0.19118762898598904
2700;-2.230965507467476;-0.173969662269033
2715;-2.2333169341308268;-0.15676177755673373
2730;-2.2354104223114577;-0.13956587870873535
2745;-2.2372461802895334;-0.12238386520504127
2760;-2.238824444769162;-0.10521763197524855
2775;-2.2401454808075836;-0.08806906922810423
2790;-2.241209581741804;-0.07094006228136726
2805;-2.2420170691126833;-0.05383249139196009
2820;-2.2425682925864794;-0.03674823158639447
2835;-2.242863629873851;-0.01968915249145712
2850;-2.242903486646328;-0.002657118165141574
2865;-2.2426882964502455;0.014346013072186962
2880;-2.2422185206181493;0.03131838880640561
2895;-2.2414946481776785;0.048258162698038086
2910;-2.2405171957579215;0.0651634946504595
2925;-2.2392867074932528;0.08203255097791126
2940;-2.2378037549246526;0.09886350457333459
2955;-2.236068936898512;0.11565453507603018
2970;-2.2340828794629246;0.13240382903915077
2985;-2.231846235761469;0.1491095800970321
3000;-2.2293596859244835;0.16576998913236704
3015;-2.2266239369578353;0.18238326444322642
3030;-2.223639722629186;0.19894762190992907
3045;-2.2204078033517596;0.2154612851617627
3060;-2.2169289660656064;0.2319224857435559
3075;-2.213204024116375;0.2483294632821009
3090;-2.2092338171315884;0.26468046565242487
3105;-2.20501921089443;0.28097374914390744
3120;-2.2005610972150365;0.2972075786262401
3135;-2.195860393799308;0.31338022771522245
3150;-2.1909180441152323;0.3294899789383895
3165;-2.185735017256725;0.3455351239004617
3180;-2.180312307804996;0.36151396344861064
3195;-2.174650935687433;0.37742480783752924
3210;-2.1687519460340186;0.39326597689429704
3225;-2.162616409031273;0.40903580018302754
