*** Compte-rendu de la simulation *** 
Conditions initiales de la simulation : 
Angle initial = 90degre
Vitesse initial = 2 m/s
Taille tige = 5 m
Masse marteau = 50 kg
Coefficient de frottements = 0.091
Section Eprouvette = 5 cm*cm 
Materiau eprouvette : Acier F65-Rv550 de resilience : 50.0 J/cm*cm 
L'eprouvette a ete detruite ! 
temps (ms);angleRad;vitesseAngulaire 
0;1.5707963267948966;-2.0
15;1.5407963267948965;-1.9983592771250451
30;1.5108209376380208;-1.9965004538432067
45;1.4808734308303728;-1.994425221931254
60;1.450957052501404;-1.9921352880472063
75;1.421075023180696;-1.9896323733498638
90;1.391230537580448;-1.9869182131200012
105;1.361426764383648;-1.9839945563833314
120;1.331666846037898;-1.9808631655353404
135;1.301953898554868;-1.9775258159680857
150;1.2722910113153467;-1.9739842956990603
165;1.242681246879861;-1.9702404050022035
180;1.213127640804828;-1.966295956041153
195;1.1836332014642106;-1.9621527725048176
210;1.1542009098766384;-1.957812689245351
225;1.124833719537958;-1.953277551918605
240;1.095534556259179;-1.9485492166271332
255;1.066306318009772;-1.9436295495658171
270;1.037151874766285;-1.9385204266701788
285;1.0080740683662321;-1.9332237332674458
300;0.9790757123672205;-1.9277413637304266
315;0.9501595919112641;-1.922075221134253
330;0.9213284635942502;-1.9162272169160453
345;0.8925850553405096;-1.9101992705375457
360;0.8639320662824463;-1.903993309150774
375;0.8353721666451848;-1.897611267266743
390;0.8069079976361836;-1.8910550864272777
405;0.7785421713397744;-1.884326714879978
420;0.7502772706165748;-1.8774281072563552
435;0.7221158490077295;-1.8703612242531786
450;0.6940604306439319;-1.8631280323170607
465;0.666113510159176;-1.8557305033323057
480;0.6382775526091914;-1.848170614312047
495;0.6105549933945107;-1.840450347092695
510;0.5829482381881202;-1.8325716880317102
525;0.5554596628676446;-1.8245366277087238
540;0.5280916134520137;-1.8163471606300132
555;0.5008464060425635;-1.8080052849363466
570;0.4737263267685183;-1.799513002114204
585;0.44673363173680525;-1.790872316710383
600;0.4198705469861495;-1.7820852360499904
615;0.39313926844539965;-1.773153769957823
630;0.3665419618960323;-1.7640799304831387
645;0.3400807629387852;-1.7548657316278131
660;0.313757776964368;-1.7455131890778786
675;0.28757507912819985;-1.736024319938439
690;0.2615347143291233;-1.7264011424719536
705;0.23563869719204397;-1.7166456758398771
720;0.20988901205444582;-1.7067599398476476
735;0.1842876129567311;-1.6967459546930064
750;0.15883642363633602;-1.6866057407176365
765;0.13353733752557148;-1.676341318162102
780;0.10839221775313995;-1.6659547069240723
795;0.08340289714927887;-1.6554479263198083
810;0.05857117825448174;-1.644822994848894
825;0.03389883333174833;-1.6340819299621885
840;0.009387604382315506;-1.623226747832977
855;-0.014960796835179146;-1.612259463131294
870;-0.03720625996145935;-1.4830308750853467
885;-0.05929865833907653;-1.472826558507812
900;-0.08123649969567209;-1.4625227571063715
915;-0.10301831950597153;-1.4521213206866288
930;-0.12464268096115605;-1.4416240970123015
945;-0.1461081749353088;-1.4310329316101837
960;-0.16741341994897413;-1.4203496675776874
975;-0.18855706212986822;-1.4095761453929396
990;-0.20953777517077946;-1.3987142027274149
1005;-0.23035426028469563;-1.3877656742610782
1020;-0.2510052461571958;-1.3767323915000147
1035;-0.27148948889614366;-1.3656161825965223
1050;-0.29180577197871826;-1.354418872171642
1065;-0.3119529061958198;-1.343142281140102
1080;-0.3319297295938845;-1.331788226537649
1095;-0.35173510741414565;-1.3203585213507423
1110;-0.3713679320293744;-1.3088549743485822
1125;-0.39082712287813615;-1.2972793899174508
1140;-0.41011162639659615;-1.2856335678973343
1155;-0.4292204159479082;-1.2739193034208038
1170;-0.4481524917492201;-1.2621383867541267
1185;-0.46690688079632886;-1.2502926031405814
1200;-0.4854826367860181;-1.2383837326459497
1215;-0.5038788400361105;-1.2264135500061595
1230;-0.5220945974032662;-1.2143838244770522
1245;-0.54012904219856;-1.202296319686246
1260;-0.557981334100866;-1.1901527934870713
1275;-0.5756506590680843;-1.1779549978145496
1290;-0.5931362292462352;-1.1657046785433904
1305;-0.6104372828764549;-1.15340357534798
1320;-0.62755308419992;-1.1410534215643366
1335;-0.64448292336073;-1.1286559440540047
1350;-0.661226116306778;-1.1162128630698647
1365;-0.6777820046886355;-1.1037258921238322
1380;-0.6941499557564818;-1.0911967378564211
1395;-0.7103293622551039;-1.0786270999081469
1410;-0.7263196423169951;-1.066018670792745
1425;-0.7421202393535778;-1.053373135772182
1440;-0.7577306219445793;-1.0406921727334333
1455;-0.7731502837255844;-1.0279774520670055
1470;-0.7883787432737921;-1.0152306365471824
1485;-0.8034155439920017;-1.0024533812139682
1500;-0.8182602539908523;-0.9896473332567101
1515;-0.832912465969343;-0.9768141318993755
1530;-0.847371797093655;-0.963955408287465
1545;-0.861637888874303;-0.9510727853765388
1560;-0.8757104070416382;-0.9381678778223386
1575;-0.8895890414197254;-0.9252422918724819
1590;-0.9032735057986211;-0.9122976252597136
1605;-0.9167635378050715;-0.8993354670966932
1620;-0.930058898771656;-0.8863573977723009
1635;-0.9431593736043977;-0.8733649888494446
1650;-0.956064770648863;-0.8603598029643506
1665;-0.9687749215547728;-0.8473433937273219
1680;-0.981289681139147;-0.8343173056249482
1695;-0.9936089272480033;-0.8212830739237507
1710;-1.005732560616632;-0.8082422245752487
1725;-1.0176605047284686;-0.7951962741224333
1740;-1.0293927056725831;-0.7821467296076324
1755;-1.0409291319998095;-0.7690950884817566
1770;-1.0522697745775331;-0.7560428385149112
1785;-1.0634146464431586;-0.7429914577083633
1800;-1.0743637826562764;-0.7299424142078517
1815;-1.08511724014955;-0.7168971662182289
1830;-1.0956750975783414;-0.7038571619194244
1845;-1.1060374551690972;-0.6908238393837198
1860;-1.116204434566512;-0.6777986264943258
1875;-1.1261761786794908;-0.6647829408652518
1890;-1.1359528515259278;-0.6517781897624617
1905;-1.1455346380763225;-0.6387857700263049
